,Specs,Details
0,Displacement,124cc
1,Max Power,10.2 PS @ 7500 rpm
2,Maximum Torque,9.9 Nm @ 5500 rpm
3,Bore,54mm
4,Stroke,54mm
5,Compression Ratio,10.0:1
6,Fuel Delivery System,Carburetor
7,Ignition,CDI
8,Transmission Type,"Constant mesh, 5-speed"
9,Front Brake Type,Disc
10,Rear Brake Type,Drum
11,Front Tyre Size,80/90 -21
12,Rear Tyre Size,110/80 -18
13,Front Suspension,Telescopic fork
14,Rear Suspension,Monocross
15,Kerb Weight,118 kg
16,Overall Length,2090 mm
17,Overall Width,830 mm
18,Overall Height,1115 mm
19,Wheelbase,1340 mm
20,Ground Clearance,260 mm
21,Seat Height,840 mm
22,Fuel Tank Capacity,10.6 L
23,Start Type,Electric and Kick
24,Headlight Type,Halogen
