,Specs,Infos
0,TYPE,"In line 2 cylinders, 4-stroke, water cooled , 4 valves for cylinder double overhead camshaft"
1,DISPLACEMENT,300 c.c.
2,BORE x STROKE,"65 x 45,2 mm"
3,COMPRESSION RATIO,12:1
4,RATED OUTPUT,28 kW (38 Cv) @ 10000 rpm
5,MAX. TORQUE,"27,4 Nm (2,8 kgm) @ 9000 rpm"
6,LUBRICATION,Wet sump
7,FUEL SUPPLY,Electronic fuel injection with throttle body ø 34 mm
8,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
9,CERTIFICATION,Euro 4
10,CLUTCH,Wet clutch
11,GEARBOX,6 speeds
12,FINAL DRIVE,Chain drive
13,Ignition,TLI
14,Spark plug,NGK CR8E
15,Starting,Electric
16,GEAR RATIO,N/A
17,PRIMARY DRIVE,N/A
18,FUEL CONSUMPTION,"4,7 l/100 km"
19,CO2 EMISSIONS,108 g/km
20,TYPE,"In line 2 cylinders, 4-stroke, water cooled , 4 valves for cylinder double overhead camshaft"
21,DISPLACEMENT,300 c.c.
22,BORE x STROKE,"65 x 45,2 mm"
23,COMPRESSION RATIO,12:1
24,RATED OUTPUT,28 kW (38 Cv) @ 10000 rpm
25,MAX. TORQUE,"27,4 Nm (2,8 kgm) @ 9000 rpm"
26,LUBRICATION,Wet sump
27,FUEL SUPPLY,Electronic fuel injection with throttle body ø 34 mm
28,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
29,CERTIFICATION,Euro 4
30,CLUTCH,Wet clutch
31,GEARBOX,6 speeds
32,FINAL DRIVE,Chain drive
33,Ignition,TLI
34,Spark plug,NGK CR8E
35,Starting,Electric
36,GEAR RATIO,N/A
37,PRIMARY DRIVE,N/A
38,FUEL CONSUMPTION,"4,7 l/100 km"
39,CO2 EMISSIONS,108 g/km
40,FRAME,Steel trestle in steel tubes
41,FRONT SUSPENSION,Ø 41 mm upside-down forks
42,FRONT SUSPENSION STROKE,120 mm
43,REAR SUSPENSION,Rear swing arm with central shock absorber
44,REAR SHOCK ABSORBER STROKE,45 mm
45,FRONT BRAKE,Double floating disks ø260 mm with 4 pistons caliper
46,FRONT RIM TYPE,Aluminum alloy
47,FRONT RIM DIMENSIONS,17” x MT 2.75” DOT
48,REAR BRAKE,Single disc ø240 mm with floating calliper single piston
49,REAR RIM TYPE,Aluminum alloy
50,REAR RIM DIMENSIONS,"17” x MT 4,00” DOT"
51,FRONT TYRE,110/70-ZR17
52,REAR TYRE,150/60 - ZR17
53,FRAME,Steel trestle in steel tubes
54,FRONT SUSPENSION,Ø 41 mm upside-down forks
55,FRONT SUSPENSION STROKE,120 mm
56,REAR SUSPENSION,Rear swing arm with central shock absorber
57,REAR SHOCK ABSORBER STROKE,45 mm
58,FRONT BRAKE,Double floating disks ø260 mm with 4 pistons caliper
59,FRONT RIM TYPE,Aluminum alloy
60,FRONT RIM DIMENSIONS,17” x MT 2.75” DOT
61,REAR BRAKE,Single disc ø240 mm with floating calliper single piston
62,REAR RIM TYPE,Aluminum alloy
63,REAR RIM DIMENSIONS,"17” x MT 4,00” DOT"
64,FRONT TYRE,110/70-ZR17
65,REAR TYRE,150/60 - ZR17
66,WIDTH EXCLUDING MIRRORS,746 mm
67,GROUND CLEARANCE,165 mm
68,UNLADEN WEIGHT,190 kg
69,ROAD READY WEIGHT,N/A
70,PERMITTED TOTAL WEIGHT,N/A
71,USABLE TANK VOLUME,14 lt
72,RESERVE,1.4 lt
73,WHEELBASE,1410 mm
