,Specs,Infos
0,TYPE,"In line 2 cylinders, 4-stroke, liquid cooled, double overhead camshaft, 4 valves for cylinder"
1,DISPLACEMENT,"499,6 c.c."
2,BORE x STROKE,"69 x 66,8 mm"
3,COMPRESSION RATIO,"11,5:1"
4,RATED OUTPUT,"35 kW (47,6 Cv) @ 8500 rpm"
5,MAX. TORQUE,"45 Nm (4,6 kgm) @ 5000 rpm"
6,LUBRICATION,Wet sump
7,FUEL SUPPLY,Electronic fuel injection with throttle body ø 37 mm
8,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
9,CERTIFICATION,Euro 4
10,CLUTCH,Wet clutch
11,GEARBOX,6 speeds
12,FINAL DRIVE,Chain drive
13,Ignition,Delphi MT05
14,Spark plug,NGK CR8E
15,Starting,Electric
16,GEAR RATIO,N/A
17,PRIMARY DRIVE,N/A
18,FUEL CONSUMPTION,"2,2 l/100 km"
19,CO2 EMISSIONS,50 g/km
20,TYPE,"In line 2 cylinders, 4-stroke, liquid cooled, double overhead camshaft, 4 valves for cylinder"
21,DISPLACEMENT,"499,6 c.c."
22,BORE x STROKE,"69 x 66,8 mm"
23,COMPRESSION RATIO,"11,5:1"
24,RATED OUTPUT,"35 kW (47,6 Cv) @ 8500 rpm"
25,MAX. TORQUE,"45 Nm (4,6 kgm) @ 5000 rpm"
26,LUBRICATION,Wet sump
27,FUEL SUPPLY,Electronic fuel injection with throttle body ø 37 mm
28,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
29,CERTIFICATION,Euro 4
30,CLUTCH,Wet clutch
31,GEARBOX,6 speeds
32,FINAL DRIVE,Chain drive
33,Ignition,Delphi MT05
34,Spark plug,NGK CR8E
35,Starting,Electric
36,GEAR RATIO,N/A
37,PRIMARY DRIVE,N/A
38,FUEL CONSUMPTION,"2,2 l/100 km"
39,CO2 EMISSIONS,50 g/km
40,FRAME,Frame in steel tubes
41,FRONT SUSPENSION,Upside-down forks Ø 50mm
42,FRONT SUSPENSION STROKE,125mm
43,REAR SUSPENSION,Rear swing arm with lateral shock absorber with spring preload adjustment and hydraulic rebound brake adjustable
44,REAR SHOCK ABSORBER STROKE,45 mm - (112 mm rear wheel travel)
45,FRONT BRAKE,Twin semi floating disk ø320 mm with radial 4 piston caliper and ABS
46,FRONT RIM TYPE,Aluminum alloy
47,FRONT RIM DIMENSIONS,17” x 3.50” DOT
48,REAR BRAKE,Single disc ø260 mm with single piston floating caliper and ABS
49,REAR RIM TYPE,Aluminum alloy
50,REAR RIM DIMENSIONS,17” x 4.50” DOT
51,FRONT TYRE,120/70- R17
52,REAR TYRE,160/60 - R17
53,FRAME,Frame in steel tubes
54,FRONT SUSPENSION,Upside-down forks Ø 50mm
55,FRONT SUSPENSION STROKE,125mm
56,REAR SUSPENSION,Rear swing arm with lateral shock absorber with spring preload adjustment and hydraulic rebound brake adjustable
57,REAR SHOCK ABSORBER STROKE,45 mm - (112 mm rear wheel travel)
58,FRONT BRAKE,Twin semi floating disk ø320 mm with radial 4 piston caliper and ABS
59,FRONT RIM TYPE,Aluminum alloy
60,FRONT RIM DIMENSIONS,17” x 3.50” DOT
61,REAR BRAKE,Single disc ø260 mm with single piston floating caliper and ABS
62,REAR RIM TYPE,Aluminum alloy
63,REAR RIM DIMENSIONS,17” x 4.50” DOT
64,FRONT TYRE,120/70- R17
65,REAR TYRE,160/60 - R17
66,WIDTH EXCLUDING MIRRORS,877 mm
67,GROUND CLEARANCE,145 mm
68,UNLADEN WEIGHT,186 kg
69,ROAD READY WEIGHT,N/A
70,PERMITTED TOTAL WEIGHT,N/A
71,USABLE TANK VOLUME,"13,5 lt"
72,RESERVE,3 lt
73,WHEELBASE,1443 mm
